date,open,high,close,low,volume
2011-11-28,2578.344,2589.354,2573.321,2562.493,2566693600.0
2011-11-29,2595.086,2609.187,2608.569,2580.293,3002587800.0
2011-11-30,2600.099,2601.9,2521.52,2507.184,4235264500.0
2011-12-01,2596.153,2630.664,2583.613,2577.722,6352025200.0
2011-12-02,2570.56,2575.692,2557.311,2543.532,3218370300.0
2011-12-05,2561.2,2561.2,2521.385,2517.179,3206338800.0
2011-12-06,2515.044,2525.666,2516.341,2499.574,2629758100.0
2011-12-07,2517.341,2534.529,2528.228,2509.777,2326183900.0
2011-12-08,2525.041,2549.101,2525.001,2494.694,2777774400.0
2011-12-09,2506.624,2525.162,2503.461,2496.972,2402905900.0
2011-12-12,2497.922,2502.046,2477.692,2476.116,2190124900.0
2011-12-13,2467.016,2472.656,2421.928,2418.673,3571753400.0
2011-12-14,2415.944,2433.55,2397.48,2392.299,2532010900.0
2011-12-15,2382.441,2384.473,2340.788,2340.447,3675083400.0
2011-12-16,2339.976,2390.378,2390.129,2332.14,3630233900.0
2011-12-19,2370.418,2387.89,2384.408,2321.657,3790975200.0
2011-12-20,2376.709,2412.572,2377.073,2373.86,3240232700.0
2011-12-21,2397.275,2404.775,2339.108,2337.693,3120952500.0
2011-12-22,2325.27,2358.468,2341.335,2294.607,3668385800.0
2011-12-23,2337.382,2382.709,2359.159,2331.958,3316190400.0
2011-12-26,2345.555,2369.818,2335.702,2334.794,2822408700.0
2011-12-27,2332.826,2346.384,2305.035,2302.411,2927731400.0
2011-12-28,2295.866,2309.645,2307.928,2267.114,3288202000.0
2011-12-29,2297.288,2323.488,2311.361,2293.872,3088770000.0
2011-12-30,2318.673,2349.029,2345.742,2318.673,3586524300.0
2012-01-04,2361.499,2365.988,2298.753,2298.298,3434456700.0
2012-01-05,2290.78,2316.657,2276.385,2272.153,4301648000.0
2012-01-06,2274.352,2291.885,2290.601,2254.567,3519899200.0
2012-01-09,2291.182,2368.889,2368.57,2271.717,5472734100.0
2012-01-10,2365.768,2449.955,2447.349,2361.281,8115498900.0
